"age","m_f","ritmo_promedio_30k","official_time_min"
27,"M",3.79888888888889,161.116666666667
23,"M",3.74611111111111,161.133333333333
31,"M",3.8,161.133333333333
51,"M",3.70944444444444,161.166666666667
34,"M",3.75722222222222,161.216666666667
21,"M",3.86055555555556,161.233333333333
40,"M",3.80388888888889,161.233333333333
38,"M",3.855,161.25
34,"M",3.75333333333333,161.266666666667
35,"M",3.81722222222222,161.283333333333
27,"F",3.82,161.283333333333
23,"M",3.73777777777778,161.3
24,"M",3.84388888888889,161.316666666667
27,"M",3.78777777777778,161.35
51,"M",3.77055555555556,161.366666666667
33,"M",3.79333333333333,161.383333333333
35,"M",3.77888888888889,161.45
20,"M",3.765,161.466666666667
29,"M",3.79666666666667,161.516666666667
24,"M",3.88444444444444,161.55
23,"M",3.89444444444444,161.6
33,"M",3.74666666666667,161.6
25,"M",3.78555555555556,161.616666666667
29,"M",3.79888888888889,161.666666666667
38,"M",3.80722222222222,161.683333333333
35,"M",3.82944444444444,161.683333333333
33,"M",3.78166666666667,161.716666666667
26,"M",3.67722222222222,161.733333333333
34,"M",3.66333333333333,161.766666666667
24,"M",3.76388888888889,161.766666666667
42,"M",3.81111111111111,161.833333333333
27,"M",3.75055555555556,161.85
35,"M",3.775,161.866666666667
38,"M",3.83611111111111,161.883333333333
36,"M",3.68666666666667,161.883333333333
27,"M",3.72,161.916666666667
25,"M",3.66444444444444,161.916666666667
33,"M",3.85055555555556,161.95
32,"M",3.83888888888889,161.983333333333
40,"M",3.78388888888889,162.016666666667
28,"M",3.76111111111111,162.05
30,"M",3.77111111111111,162.05
25,"M",3.85666666666667,162.066666666667
31,"M",3.84277777777778,162.133333333333
32,"M",3.79277777777778,162.133333333333
28,"M",3.79944444444444,162.15
32,"M",3.85166666666667,162.166666666667
29,"M",3.76666666666667,162.166666666667
37,"M",3.78888888888889,162.183333333333
31,"M",3.83388888888889,162.2
32,"M",3.84777777777778,162.2
44,"M",3.75277777777778,162.25
33,"M",3.77388888888889,162.266666666667
37,"M",3.80833333333333,162.266666666667
32,"M",3.77111111111111,162.283333333333
32,"M",3.84777777777778,162.383333333333
27,"M",3.73388888888889,162.4
28,"M",3.75444444444444,162.45
40,"M",3.80944444444444,162.45
36,"M",3.83277777777778,162.466666666667
32,"M",3.85277777777778,162.5
35,"M",3.83944444444444,162.533333333333
26,"M",3.83888888888889,162.583333333333
35,"M",3.76833333333333,162.633333333333
23,"M",3.865,162.65
40,"M",3.79833333333333,162.65
29,"M",3.78777777777778,162.666666666667
46,"M",3.83055555555556,162.716666666667
33,"M",3.72777777777778,162.783333333333
35,"M",3.80166666666667,162.816666666667
22,"M",3.89888888888889,162.816666666667
50,"M",3.76277777777778,162.816666666667
37,"M",3.80555555555556,162.85
31,"M",3.91611111111111,162.883333333333
28,"M",3.74777777777778,162.95
42,"M",3.83555555555556,162.966666666667
25,"M",3.84666666666667,162.966666666667
30,"M",3.81055555555556,162.983333333333
27,"M",3.76777777777778,163
24,"M",3.85611111111111,163.05
31,"M",3.78944444444444,163.083333333333
38,"M",3.80166666666667,163.116666666667
27,"M",3.87166666666667,163.183333333333
43,"M",3.795,163.216666666667
33,"M",3.69833333333333,163.216666666667
37,"M",3.82222222222222,163.216666666667
23,"M",3.84166666666667,163.25
28,"M",3.88222222222222,163.283333333333
34,"M",3.80611111111111,163.333333333333
38,"M",3.87777777777778,163.333333333333
35,"M",3.76333333333333,163.333333333333
26,"M",3.88888888888889,163.383333333333
26,"M",3.85333333333333,163.383333333333
23,"M",3.66111111111111,163.383333333333
25,"M",3.87555555555556,163.4
34,"M",3.75111111111111,163.433333333333
30,"M",3.925,163.466666666667
46,"M",3.69111111111111,163.466666666667
34,"M",3.835,163.466666666667
44,"M",3.83388888888889,163.516666666667
26,"M",3.66944444444444,163.516666666667
39,"M",3.825,163.516666666667
34,"M",3.84277777777778,163.566666666667
36,"M",3.79222222222222,163.583333333333
45,"M",3.82388888888889,163.583333333333
35,"M",3.86555555555556,163.633333333333
24,"M",3.725,163.65
41,"M",3.76888888888889,163.666666666667
21,"M",4.005,163.716666666667
29,"M",3.83,163.716666666667
34,"M",3.82166666666667,163.733333333333
19,"M",3.83555555555556,163.766666666667
30,"M",3.86277777777778,163.783333333333
26,"M",3.67388888888889,163.833333333333
24,"M",3.78666666666667,163.85
31,"M",3.41666666666667,163.85
37,"M",3.80277777777778,163.866666666667
